"id" "agegrp" "piat"
"258" "86" 10.5 59
"259" "87" 6.5 22
"260" "87" 8.5 49
"261" "87" 10.5 64
"262" "88" 6.5 22
"263" "88" 8.5 23
"264" "88" 10.5 23
"265" "89" 6.5 23
"266" "89" 8.5 40
"267" "89" 10.5 45
