"fem" "ment" "phd" "mar" "kid5" "art"
"126" "0" 4.9999981 4.1399999 "0" 0 1
"127" "0" 13 2.96 "1" 1 6
"128" "0" 10.9999971 2.55 "1" 0 1
"129" "0" 19.0000019 2.21 "1" 1 0
"130" "0" 4.9999981 3.0899999 "1" 0 3
"131" "0" 66.0000076 4.54 "1" 2 4
"132" "0" 0 1.78 "1" 0 3
"133" "0" 3 2.21 "1" 3 0
"134" "0" 3 2.3900001 "1" 1 1
"135" "0" 0 2.96 "1" 0 0
"136" "0" 7.9999986 2.51 "1" 1 0
"137" "0" 0 1.97 "1" 2 2
"138" "0" 4.9999981 4.1399999 "0" 0 0
"139" "0" 29 4.25 "1" 1 4
"140" "0" 10.9999971 2.8599999 "1" 2 0
"141" "0" 22.9999962 2.96 "1" 1 9
"142" "0" 45.9999924 2.96 "1" 2 2
"143" "0" 7.9999986 4.6199999 "1" 1 6
"144" "0" 4.9999981 3.6900001 "1" 2 0
"145" "0" 0.9999999 3.1500001 "1" 1 0
"146" "0" 9 4.6199999 "0" 0 2
"147" "0" 1.9999999 3.3599999 "1" 0 0
"148" "0" 6.9999995 3.6900001 "0" 0 4
"149" "0" 10.9999971 3.54 "1" 0 1
"150" "0" 56.9999962 2.96 "1" 1 4
"151" "0" 15.9999981 2.5599999 "1" 1 1
"152" "0" 0 2.3199999 "1" 0 0
"153" "0" 3 2.3199999 "1" 0 0
"154" "0" 0.9999999 0.92 "1" 2 0
"155" "0" 9.999999 4.54 "1" 0 0
"156" "0" 10.9999971 4.54 "1" 3 0
"157" "0" 10.9999971 1.76 "1" 1 5
"158" "0" 15.9999981 2.5599999 "0" 0 1
"159" "0" 4.9999981 2.3900001 "1" 1 0
"160" "0" 9 3.4000001 "1" 0 2
"161" "0" 19.9999962 2.8699999 "1" 2 2
"162" "0" 21 4.54 "1" 2 4
"163" "0" 4.9999981 2.8299999 "1" 0 4
"164" "0" 6.0000005 1.6799999 "1" 0 0
"165" "0" 12 3.54 "0" 0 3
"166" "0" 0 1.76 "1" 0 2
"167" "0" 10.9999971 3.1500001 "1" 3 1
"168" "0" 3 2.51 "1" 0 0
"169" "0" 15.9999981 3.6900001 "1" 1 0
"170" "0" 10.9999971 1.76 "1" 1 4
"171" "0" 4.9999981 1.86 "1" 1 12
"172" "0" 0.9999999 2.76 "1" 3 0
"173" "0" 15.9999981 4.6199999 "1" 1 1
"174" "0" 12 4.25 "1" 0 5
"175" "0" 10.9999971 2.54 "1" 0 4
"176" "0" 0 2.2 "1" 1 0
"177" "0" 0 1.76 "1" 0 2
"178" "0" 3 2.8599999 "1" 3 3
"179" "0" 13 3.4000001 "1" 2 0
"180" "0" 45 4.54 "1" 1 1
"181" "0" 47.0000076 1.86 "1" 1 9
"182" "0" 6.9999995 1.52 "1" 0 0
"183" "0" 6.9999995 2.5599999 "1" 1 2
"184" "0" 19.0000019 2.21 "1" 0 0
"185" "0" 9 3.6900001 "1" 0 7
"186" "0" 76.9999847 1.78 "1" 1 1
"187" "0" 0 1.1799999 "1" 1 0
"188" "0" 3.999999 2 "1" 0 1
"189" "0" 19.0000019 2.21 "1" 0 0
"190" "0" 12 4.1399999 "1" 2 0
"191" "0" 0.9999999 2.8599999 "1" 3 0
"192" "0" 17 2.8599999 "1" 1 1
"193" "0" 6.0000005 2.54 "0" 0 7
"194" "0" 3.999999 2.8599999 "1" 1 0
"195" "0" 6.0000005 2.52 "0" 0 4
"196" "0" 3 1.52 "1" 1 2
"197" "0" 4.9999981 3.0899999 "1" 1 3
"198" "0" 3 1.1799999 "1" 1 0
"199" "0" 3 1.42 "1" 0 0
"200" "0" 15.000001 4.6199999 "0" 0 7
"201" "0" 0 2.96 "1" 2 1
"202" "0" 9.999999 4.54 "0" 0 2
"203" "0" 41.9999962 4.54 "0" 0 7
"204" "0" 3 2.51 "1" 2 1
"205" "0" 6.9999995 3.1500001 "1" 1 2
"206" "0" 0 2.5 "1" 0 1
"207" "0" 6.0000005 2.96 "1" 3 1
"208" "0" 3.999999 1.6799999 "1" 0 0
"209" "0" 0 1.22 "1" 1 1
"210" "0" 1.9999999 1.52 "1" 0 1
"211" "0" 4.9999981 2.21 "1" 1 0
"212" "0" 0.9999999 3.9200001 "1" 1 0
"213" "0" 13 4.54 "1" 0 5
"214" "0" 0 1.1799999 "1" 0 2
"215" "0" 26 3.6900001 "1" 0 3
"216" "0" 0.9999999 1.72 "1" 0 2
"217" "0" 25 2.5799999 "1" 1 5
"218" "0" 3 1.52 "0" 0 3
"219" "0" 47.0000076 1.86 "1" 1 4
"220" "0" 3.999999 2.5 "1" 0 5
"221" "0" 0.9999999 4.6199999 "1" 0 1
"222" "0" 6.9999995 1.4 "1" 2 0
"223" "0" 4.9999981 4.54 "1" 0 3
"224" "0" 26.9999981 1.6799999 "1" 1 0
"225" "0" 0.9999999 2.8299999 "1" 0 2
"226" "0" 4.9999981 3.3599999 "0" 0 1
"227" "0" 0 1.97 "1" 1 7
"228" "0" 12 3.4000001 "0" 0 1
"229" "0" 3.999999 1.74 "1" 1 1
"230" "0" 0 2.96 "0" 0 0
"231" "0" 25 2.5799999 "1" 1 4
"232" "0" 3 4.54 "1" 1 1
"233" "0" 1.9999999 3.1500001 "1" 1 0
"234" "0" 12 2.96 "1" 2 0
"235" "0" 15.9999981 3.54 "1" 2 2
"236" "0" 4.9999981 2.96 "1" 1 3
"237" "0" 12 4.25 "1" 0 1
"238" "0" 4.9999981 2.5599999 "1" 1 2
"239" "0" 4.9999981 1.86 "1" 0 1
"240" "0" 3 4.6199999 "1" 1 1
"241" "0" 3.999999 2.8599999 "0" 0 2
"242" "0" 4.9999981 3.1500001 "1" 1 5
"243" "0" 0 2.51 "1" 0 2
"244" "0" 26.9999981 3.1500001 "1" 1 5
"245" "0" 4.9999981 2.51 "1" 0 2
"246" "0" 0 1.52 "1" 1 0
"247" "0" 17.9999981 4.29 "0" 0 6
"248" "0" 4.9999981 4.29 "1" 1 4
"249" "0" 7.9999986 4.29 "1" 2 2
"250" "0" 3.999999 2.0999999 "1" 0 2
"251" "0" 35.0000076 4.29 "1" 1 12
"252" "0" 4.9999981 4.29 "0" 0 2
"253" "0" 9 3.5899999 "1" 1 1
"254" "0" 6.0000005 4.29 "1" 0 1
"255" "0" 24.0000019 4.29 "1" 0 2
"256" "0" 0 2.0999999 "1" 1 0
"257" "0" 4.9999981 1.8099999 "1" 1 0
"258" "0" 19.0000019 4.29 "0" 0 7
"259" "0" 3 4.29 "0" 0 1
"260" "0" 1.9999999 4.29 "1" 1 1
"261" "0" 3.999999 1.25 "1" 0 3
"262" "0" 9.999999 3.5899999 "1" 0 1
"263" "0" 7.9999986 2.0999999 "1" 1 1
"264" "0" 1.9999999 4.29 "1" 0 4
"265" "0" 19.0000019 4.29 "1" 1 3
"266" "0" 0.9999999 3.47 "1" 1 1
"267" "0" 3 3.1900001 "1" 0 1
"268" "0" 4.9999981 3.1900001 "1" 2 1
"269" "0" 0 2.0999999 "1" 0 1
"270" "0" 21 3.5899999 "1" 1 5
"271" "0" 13.9999971 4.29 "1" 1 1
"272" "0" 0 2.0999999 "1" 0 0
"273" "0" 6.9999995 2.76 "1" 1 1
"274" "0" 4.9999981 2.6099999 "1" 0 3
"275" "0" 22 4.29 "1" 0 4
"276" "0" 19.9999962 3.4100001 "0" 0 7
"277" "0" 38.0000038 4.29 "1" 0 3
"278" "0" 19.0000019 4.29 "0" 0 4
"279" "0" 3 2.26 "0" 0 2
"280" "0" 15.9999981 3.5899999 "0" 0 3
"281" "0" 1.9999999 4.29 "1" 1 0
"282" "0" 3 2.05 "0" 0 1
"283" "0" 12 4.29 "1" 2 1
"284" "0" 35.0000076 4.29 "0" 0 0
"285" "0" 19.0000019 4.29 "1" 0 0
"286" "0" 1.9999999 4.29 "0" 0 0
"287" "0" 6.9999995 2.76 "0" 0 1
"288" "0" 3.999999 2.0999999 "1" 2 3
"289" "0" 13.9999971 2.3599999 "0" 0 1
"290" "0" 9 4.29 "0" 0 0
"291" "0" 7.9999986 3.5899999 "0" 0 0
"292" "0" 12 4.29 "1" 1 2
"293" "0" 3 4.29 "1" 1 0
"294" "0" 0.9999999 4.29 "1" 0 1
"295" "0" 9.999999 4.29 "0" 0 1
"296" "0" 21 3.4100001 "0" 0 4
"297" "0" 13 4.29 "1" 1 0
"298" "0" 17 4.29 "1" 0 2
"299" "0" 4.9999981 4.29 "0" 0 0
"300" "0" 1.9999999 2.1400001 "0" 0 0
"301" "0" 7.9999986 4.29 "1" 0 0
"302" "0" 1.9999999 2.5 "1" 1 2
"303" "0" 4.9999981 2.6099999 "1" 1 3
"304" "0" 0.9999999 1.8099999 "1" 2 0
"305" "0" 1.9999999 2.26 "1" 1 0
"306" "0" 3.999999 3.6199999 "1" 2 1
"307" "0" 9 4.29 "1" 2 1
"308" "0" 9 4.29 "0" 0 0
"309" "0" 17 4.29 "0" 0 2
"310" "0" 24.0000019 4.29 "1" 2 0
"311" "0" 3.999999 3.47 "1" 0 4
"312" "0" 13.9999971 4.29 "1" 1 2
"313" "0" 4.9999981 3.5899999 "1" 1 1
"314" "0" 9.999999 1.8099999 "0" 0 1
"315" "0" 17.9999981 4.29 "1" 1 3
"316" "0" 0.9999999 4.29 "1" 1 0
"317" "0" 0 2.0999999 "1" 0 1
"318" "0" 3.999999 2.1500001 "1" 2 0
"319" "0" 7.9999986 4.29 "1" 0 0
"320" "0" 0.9999999 2.26 "1" 0 1
"321" "0" 7.9999986 4.29 "1" 0 0
"322" "0" 13 4.29 "1" 2 0
"323" "0" 4.9999981 3.5899999 "1" 2 0
"324" "0" 6.9999995 3.4100001 "1" 2 0
"325" "0" 6.9999995 3.5899999 "0" 0 3
"326" "0" 4.9999981 3.6199999 "1" 1 3
"327" "0" 0 2.0999999 "1" 3 1
"328" "0" 13.9999971 4.29 "0" 0 1
"329" "0" 6.0000005 4.29 "1" 0 0
"330" "0" 4.9999981 2.26 "1" 1 1
"331" "0" 7.9999986 2.76 "1" 0 3
"332" "0" 3.999999 2.6099999 "1" 1 1
"333" "0" 9 4.29 "0" 0 2
"334" "0" 3 2.0999999 "1" 1 2
"335" "0" 1.9999999 3.47 "1" 1 0
"336" "0" 0 2.0999999 "0" 0 0
"337" "0" 10.9999971 4.29 "0" 0 1
"338" "0" 9 4.29 "0" 0 1
"339" "0" 7.9999986 2.96 "1" 0 1
"340" "0" 1.9999999 2.96 "1" 0 2
"341" "0" 17.9999981 4.6199999 "1" 0 3
"342" "0" 3 1.42 "1" 0 3
"343" "0" 1.9999999 4.54 "1" 0 1
"344" "0" 6.9999995 2.52 "1" 0 0
"345" "0" 9.999999 4.54 "1" 1 2
"346" "0" 15.9999981 2 "1" 1 1
"347" "0" 4.9999981 2.54 "1" 0 0
"348" "0" 0 2.5 "1" 0 2
"349" "0" 7.9999986 4.54 "0" 0 0
"350" "0" 9.999999 3.3599999 "0" 0 1
"351" "0" 17.9999981 3.4000001 "1" 1 0
"352" "0" 12 1.6799999 "1" 1 1
"353" "0" 9 2 "0" 0 1
"354" "0" 39 2.8599999 "1" 0 1
"355" "0" 17.9999981 4.6199999 "1" 0 1
"356" "0" 15.000001 4.1399999 "1" 0 1
"357" "0" 15.9999981 4.1399999 "1" 0 2
"358" "0" 1.9999999 2.96 "0" 0 0
"359" "0" 6.9999995 2.8299999 "1" 2 3
"360" "0" 24.0000019 2.55 "1" 0 2
"361" "0" 7.9999986 1.6799999 "1" 0 1
"362" "0" 6.9999995 2 "0" 0 1
"363" "0" 10.9999971 2 "1" 1 1
"364" "0" 0 2.96 "1" 1 4
"365" "0" 3.999999 1.505 "1" 0 4
"366" "0" 21 3.54 "1" 0 2
"367" "0" 6.0000005 3.4000001 "0" 0 1
"368" "0" 6.0000005 4.6199999 "0" 0 0
"369" "0" 7.9999986 2.8299999 "0" 0 3
"370" "0" 3.999999 2.54 "1" 0 1
"371" "0" 12 2.8699999 "0" 0 1
"372" "0" 15.000001 1.86 "0" 0 1
"373" "0" 0 3.9200001 "1" 1 1
"374" "0" 4.9999981 3.6900001 "1" 1 1
"375" "0" 15.000001 2.8599999 "1" 2 4
"376" "0" 4.9999981 4.54 "0" 0 0
"377" "0" 7.9999986 4.6199999 "0" 0 0
"378" "0" 13 2.8599999 "1" 1 0
"379" "0" 1.9999999 3.4000001 "0" 0 1
"380" "0" 6.0000005 2.5799999 "1" 2 4
"381" "0" 19.9999962 4.25 "1" 0 3
"382" "0" 6.9999995 1.76 "1" 1 2
"383" "0" 6.9999995 2.8599999 "1" 3 0
"384" "0" 15.9999981 3.6900001 "1" 2 4
"385" "0" 13 3.4000001 "1" 0 0
"386" "0" 0 3.4000001 "1" 2 0
"387" "0" 0.9999999 4.54 "1" 2 0
"388" "0" 12 2.8699999 "0" 0 3
"389" "0" 6.9999995 1.76 "1" 0 4
"390" "0" 3.999999 4.25 "0" 0 1
"391" "0" 0 3.9200001 "0" 0 3
"392" "0" 3.999999 3.3599999 "1" 0 2
"393" "0" 3.999999 2.3199999 "1" 0 1
"394" "0" 36.9999924 4.54 "0" 0 2
"395" "0" 22.9999962 3.3599999 "1" 1 0
"396" "0" 7.9999986 2 "1" 3 2
"397" "0" 7.9999986 3.9200001 "1" 1 1
"398" "0" 1.9999999 3.9200001 "0" 0 1
"399" "0" 0 3.3599999 "0" 0 1
"400" "0" 0.9999999 1.78 "1" 0 1
"401" "0" 21 3.54 "1" 1 1
"402" "0" 9.999999 3.9200001 "0" 0 2
"403" "0" 7.9999986 2.3199999 "0" 0 3
"404" "0" 33.9999924 1.6799999 "1" 0 1
"405" "0" 13.9999971 3.0899999 "0" 0 2
"406" "0" 6.0000005 2.5799999 "1" 1 0
"407" "0" 13.9999971 3.4000001 "0" 0 6
"408" "0" 12 2.8699999 "0" 0 3
"409" "0" 17.9999981 4.6199999 "0" 0 4
"410" "0" 3 2.96 "1" 3 0
"411" "0" 6.0000005 1.86 "1" 2 2
"412" "0" 1.9999999 1.22 "1" 1 0
"413" "0" 10.9999971 2.51 "1" 2 6
"414" "0" 10.9999971 2.51 "1" 0 8
"415" "0" 4.9999981 3.6900001 "1" 0 2
"416" "0" 7.9999986 2.96 "1" 0 3
"417" "0" 3.999999 1.78 "1" 0 1
"418" "0" 0.9999999 1.22 "1" 1 1
"419" "0" 7.9999986 2.8599999 "1" 0 0
"420" "0" 19.0000019 3.6900001 "0" 0 7
"421" "0" 1.9999999 2.1199999 "0" 0 0
"422" "0" 9.999999 2.52 "1" 1 2
"423" "0" 3.999999 2.3199999 "1" 0 1
"424" "0" 3 4.6199999 "1" 0 2
"425" "0" 1.9999999 3.54 "1" 2 4
"426" "0" 0.9999999 2.5 "1" 0 0
"427" "0" 4.9999981 1.6799999 "0" 0 0
"428" "0" 1.9999999 3.4000001 "1" 1 1
"429" "0" 4.9999981 3.9200001 "0" 0 0
"430" "0" 52.9999809 4.54 "1" 1 5
"431" "0" 54.9999886 4.54 "0" 0 2
"432" "0" 0 2.5 "0" 0 0
"433" "0" 10.9999971 4.54 "1" 0 2
"434" "0" 25 3.54 "0" 0 3
"435" "0" 4.9999981 1.52 "1" 0 2
"436" "0" 1.9999999 3.9200001 "1" 2 0
"437" "0" 7.9999986 4.6199999 "1" 0 2
"438" "0" 0 3.9200001 "1" 0 3
"439" "0" 4.9999981 2.3199999 "1" 2 0
"440" "0" 7.9999986 2.96 "1" 2 2
"441" "0" 6.9999995 2.8599999 "1" 2 1
"442" "0" 13.9999971 1.95 "1" 1 3
"443" "0" 1.9999999 3.9200001 "1" 2 1
"444" "0" 4.9999981 2.8699999 "0" 0 1
"445" "0" 24.0000019 3.6900001 "1" 0 3
"446" "0" 3 3.6900001 "1" 0 0
"447" "0" 3.999999 2.3900001 "0" 0 2
"448" "0" 3 1.95 "1" 2 3
"449" "0" 10.9999971 3.3599999 "0" 0 5
"450" "0" 3.999999 2.3900001 "1" 1 2
"451" "0" 26 3.6900001 "0" 0 2
"452" "0" 3.999999 2.96 "1" 1 5
"453" "0" 1.9999999 3.21 "1" 0 0
"454" "0" 0 2.1199999 "1" 2 0
"455" "0" 52.9999809 4.54 "1" 1 2
"456" "0" 3.999999 2.3199999 "1" 0 3
"457" "0" 6.0000005 2.54 "1" 1 3
"458" "0" 1.9999999 2.8599999 "1" 1 1
"459" "0" 13.9999971 3.47 "1" 0 3
"460" "0" 15.000001 2.8699999 "0" 0 4
"461" "0" 3.999999 2.3199999 "1" 0 0
"462" "0" 15.000001 1.86 "1" 2 4
"463" "0" 3.999999 1.95 "1" 0 2
"464" "0" 1.9999999 2.3199999 "1" 2 0
"465" "0" 19.9999962 4.25 "1" 2 1
"466" "0" 3.999999 1.97 "0" 0 6
"467" "0" 41.9999962 1.86 "1" 0 19
"468" "0" 7.9999986 3.6900001 "1" 1 0
"469" "0" 3 4.54 "1" 1 0
"470" "0" 9 3.54 "1" 0 4
"471" "0" 9.999999 4.54 "1" 1 1
"472" "0" 6.9999995 2.8599999 "1" 2 11
"473" "0" 25 3.3599999 "1" 0 0
"474" "0" 3 2.8599999 "0" 0 0
"475" "0" 3.999999 2.96 "1" 2 0
"476" "0" 22 2.5599999 "1" 2 1
"477" "0" 7.9999986 1.63 "1" 0 2
"478" "0" 13.9999971 2.96 "0" 0 0
"479" "0" 0 2.96 "1" 0 1
"480" "0" 7.9999986 1.63 "1" 1 1
"481" "0" 0 2.96 "0" 0 0
"482" "0" 21 2.96 "1" 2 2
"483" "0" 6.9999995 2.96 "1" 0 1
"484" "0" 30.9999886 4.54 "1" 2 3
"485" "0" 1.9999999 4.54 "1" 2 2
"486" "0" 9.999999 2.1500001 "0" 0 1
"487" "0" 6.0000005 4.54 "1" 1 2
"488" "0" 12 2.21 "1" 2 2
"489" "0" 0.9999999 2.21 "1" 1 0
"490" "0" 29 4.54 "0" 0 2
"491" "0" 9.999999 2.21 "1" 1 3
"492" "0" 6.0000005 2.21 "1" 0 0
"493" "0" 36.9999924 4.54 "1" 0 3
"494" "0" 4.9999981 4.54 "0" 0 4
"495" "1" 9 2.1199999 "0" 0 0
"496" "1" 1.9999999 2.1199999 "1" 0 0
"497" "1" 1.9999999 2.1199999 "1" 0 2
"498" "1" 3 2.1199999 "1" 0 3
"499" "1" 9 2.1199999 "1" 1 1
"500" "1" 10.9999971 2.3900001 "0" 0 3
"501" "1" 4.9999981 2.5799999 "0" 0 2
"502" "1" 6.9999995 3.1900001 "1" 0 4
"503" "1" 4.9999981 3.75 "0" 0 0
"504" "1" 3 3.5899999 "0" 0 1
"505" "1" 1.9999999 2.5799999 "0" 0 2
"506" "1" 0 3.75 "0" 0 3
"507" "1" 4.9999981 3.75 "1" 0 0
"508" "1" 0.9999999 3.75 "0" 0 0
"509" "1" 3.999999 1.22 "1" 2 2
"510" "1" 13.9999971 3.75 "0" 0 0
"511" "1" 6.9999995 3.75 "1" 0 0
"512" "1" 26 3.75 "0" 0 0
"513" "1" 7.9999986 3.75 "0" 0 2
"514" "1" 3 3.75 "0" 0 4
"515" "1" 6.0000005 3.75 "0" 0 0
"516" "1" 21 3.75 "0" 0 1
"517" "1" 7.9999986 3.75 "1" 0 2
"518" "1" 3.999999 3.75 "0" 0 0
"519" "1" 6.9999995 3.75 "1" 1 1
"520" "1" 0 3.75 "1" 0 2
"521" "1" 0 2.54 "1" 1 0
"522" "1" 0.9999999 2.54 "1" 0 0
"523" "1" 3.999999 2.76 "0" 0 0
"524" "1" 1.9999999 4.1399999 "0" 0 0
"525" "1" 3.999999 0.92 "0" 0 1
"526" "1" 0 1.005 "0" 0 0
"527" "1" 6.0000005 3.0899999 "0" 0 2
"528" "1" 3 3.0899999 "1" 1 2
"529" "1" 0 1.79 "0" 0 0
"530" "1" 3 1.4 "0" 0 1
"531" "1" 3 1.4 "0" 0 4
"532" "1" 0 1.4 "1" 0 2
"533" "1" 0 1.4 "0" 0 2
"534" "1" 13.9999971 1.4 "0" 0 0
"535" "1" 12 1.4 "0" 0 1
"536" "1" 1.9999999 1.4 "0" 0 1
"537" "1" 6.0000005 2 "0" 0 1
"538" "1" 10.9999971 4.3400002 "1" 0 2
"539" "1" 6.0000005 4.3400002 "1" 0 4
"540" "1" 0 1.75 "0" 0 0
"541" "1" 36 2.0999999 "1" 0 6
"542" "1" 7.9999986 2.0999999 "0" 0 1
"543" "1" 1.9999999 2.0999999 "0" 0 0
"544" "1" 10.9999971 3.5899999 "1" 0 2
"545" "1" 10.9999971 3.5899999 "1" 2 2
"546" "1" 17.9999981 3.5899999 "0" 0 0
"547" "1" 3.999999 3.5899999 "0" 0 0
"548" "1" 17.9999981 3.5899999 "1" 0 10
"549" "1" 7.9999986 3.5899999 "0" 0 1
"550" "1" 19.0000019 3.4100001 "1" 0 3
"551" "1" 3.999999 3.4100001 "1" 0 4
"552" "1" 4.9999981 3.4100001 "1" 2 0
"553" "1" 6.9999995 3.4000001 "0" 0 1
"554" "1" 3.999999 3.4000001 "1" 1 2
"555" "1" 4.9999981 3.4000001 "1" 0 4
"556" "1" 13.9999971 3.4000001 "1" 0 1
"557" "1" 3.999999 3.4000001 "1" 0 0
"558" "1" 3.999999 2.52 "0" 0 3
"559" "1" 0 2.52 "0" 0 1
"560" "1" 15.000001 3.6900001 "1" 1 2
"561" "1" 0.9999999 3.6900001 "1" 0 1
"562" "1" 3 3.6900001 "1" 1 0
"563" "1" 17.9999981 3.6900001 "0" 0 1
"564" "1" 15.000001 2.8699999 "0" 0 0
"565" "1" 4.9999981 2.8699999 "1" 0 1
"566" "1" 17.9999981 2.8699999 "1" 0 1
"567" "1" 9 2.8699999 "0" 0 2
"568" "1" 6.0000005 2.8699999 "0" 0 4
